global_step,mean_episode_cost,lagrange_multiplier,mean_reward,mean_cost,policy_loss,value_loss
512,168.72000000000054,3.214400000000011,-0.7853600978851318,0.703000009059906,0.018296757712960243,268.4330139160156
1024,151.49650000000048,6.084330000000021,-0.4838656783103943,0.703000009059906,-0.08718235790729523,172.77435302734375
1536,157.2376666666672,9.069083333333365,-0.4954587519168854,0.703000009059906,-0.012849889695644379,173.43101501464844
2048,160.1082500000005,12.111248333333375,-0.5089987516403198,0.703000009059906,-0.024028921499848366,168.0739288330078
